nombre,documento,fondo,institucion,motivo,fecha
Juan Villa,1901775236,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Anuel,1331395002,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1213120795,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1815180635,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1182704876,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1326055982,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Espinoza,1019869076,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1993786170,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1167159116,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1765330203,Colfondos,Civil,Rechazado: Nació y reside en Cali,2024-11-16
Orlando,1506080722,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1612544636,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1331077726,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1433444312,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1410370294,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1548705549,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1205644043,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1988180403,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1193701252,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1699460017,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1608335347,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1052367140,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Anuel,1872983039,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1237351534,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1226829236,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1696808032,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1016354684,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1143803673,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1412029259,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1732072400,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1227796375,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1919126106,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1799303152,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1326192090,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1028991016,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1277315835,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Paula,1733560242,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1370628881,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1427467045,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1556632076,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1086119430,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1839716466,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Anuel,1709941104,Inpec,Pública,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Dahiana,1638126350,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1564035084,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1753457534,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Pancho,1714634510,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1882535934,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1477216456,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1630501274,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1025427904,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1955236949,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1621402269,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Pancho,1776736735,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1819167886,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1811642928,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1207545980,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1039403242,Inpec,Pública,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1554256817,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1227880300,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Paula,1771511130,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1509810288,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1243090422,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1423823267,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1676064589,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Anuel,1584941986,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1058272176,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1356578385,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1221864890,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Pancho,1895656781,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1088277706,Colfondos,Civil,Rechazado: Nació y reside en Cali,2024-11-16
Orlando,1845069131,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1855769440,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1754900741,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1372493702,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1946812725,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Pancho,1518279276,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1050446436,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1643042396,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1677763619,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1147777901,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1224626900,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1908708441,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1679127712,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1888955031,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1953077835,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1638028958,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1987003188,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1818623507,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1572263983,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1986721370,Inpec,Pública,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Dahiana,1386590134,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1810637378,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1556462985,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1883434933,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1554867073,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1356160672,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1800020202,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1942139694,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1826352439,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1076422484,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1353679786,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Espinoza,1721536743,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Paula,1783669253,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1462671720,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1173173657,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1478931025,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1884697550,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1359141759,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1877528680,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1562890933,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1359382288,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1165103140,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1267224481,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1004742209,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1763379692,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1490863915,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1633704918,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1626135957,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1190469397,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Anuel,1242989371,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1146601348,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1049030570,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1648842790,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1799636677,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1118740423,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1660906440,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1552643383,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1749087887,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1378143680,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1054754465,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1052567694,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1749296671,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1940335159,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1351947358,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1591652679,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1634463921,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1124434551,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1033980219,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1107468850,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1387002969,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1551094599,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1032126349,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1582234381,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1915206975,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1022329692,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1939464821,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1286982120,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1117586005,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1402774312,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1538120051,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1501207023,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1505534856,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1109280595,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1802751325,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1440431274,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1171084531,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1315823833,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Pancho,1418199260,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1115485178,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1094358770,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1381343807,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1926978440,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1732684934,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1167034883,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1402612455,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1383600572,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1362066878,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1480505196,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1699923778,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1041892428,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1100447575,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1150556857,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1863846914,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1391802950,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1725947937,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1228563406,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1786382453,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1466263633,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1866325886,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1533481807,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1636397642,Policia,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1698602376,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1941343894,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1588447055,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1215923206,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1774122747,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1751067561,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1027284552,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Anuel,1675995087,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1443873012,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1508220255,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1046688471,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Espinoza,1514151261,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1648931177,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Pancho,1090691517,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1385046386,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1725773645,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1425992102,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1771124118,Inpec,Pública,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1330465083,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1624391851,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Paula,1698600276,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1438839667,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Santiago,1505163298,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1550870807,Inpec,Pública,Rechazado: Nació y reside en Cali,2024-11-16
Lucia,1516623197,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1637810162,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1330413499,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1723763010,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1097787293,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Juana,1433468831,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1005659740,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1876400884,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Juan Villa,1275827322,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Anuel,1679910900,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Lucia,1458181597,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1960975810,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1434868997,Porvenir,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Espinoza,1554355394,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1334717144,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1889076272,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Orlando,1072843434,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1989401906,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1482217617,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1027349423,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1865919959,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1625563703,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Nicolas,1995687215,Porvenir,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Espinoza,1731537555,Proteccion,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Paula,1134169296,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1656094465,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1789639509,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1287019785,Old Mutual,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Santiago,1205539185,Porvenir,Civil,Rechazado: En lista negra en los últimos 6 meses,2024-11-16
Anuel,1332680096,Inpec,Pública,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Dahiana,1234542783,Policia,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Lucia,1246745801,Minsalud,Pública,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Juliana,1688145306,Minterior,Civil,Rechazado: Tiene observación disciplinaria, sera pasado a la lista negra hasta el dd/MM/yyyy,2024-11-16
Espinoza,1616021722,Proteccion,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Pancho,1562022083,Colfondos,Civil,Rechazado: Supera el maximo de semanas para el fondo al que pertenece,2024-11-16
Juana,1070658772,Colfondos,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
Orlando,1067367241,Old Mutual,Civil,Rechazado: Alcanzó la edad para aplicar al RPM,2024-11-16
